,0,1,2,3,4,5,6,7,8,9
0,0.000,0.039,0.078,0.117,0.156,0.195,0.234,0.273,0.312,0.352
10,0.391,0.431,0.470,0.510,0.549,0.589,0.629,0.669,0.709,0.749
20,0.790,0.830,0.870,0.911,0.951,0.992,1.033,1.074,1.114,1.154
30,1.196,1.238,1.279,1.320,1.362,1.403,1.445,1.486,1.528,1.568
40,1.612,1.654,1.696,1.738,1.780,1.823,1.865,1.908,1.950,1.990
50,2.036,2.079,2.122,2.165,2.208,2.251,2.294,2.338,2.381,2.421
60,2.468,2.512,2.556,2.600,2.643,2.687,2.732,2.776,2.820,2.860
70,2.909,2.953,2.998,3.043,3.087,3.132,3.177,3.222,3.267,3.307
80,3.358,3.403,3.448,3.494,3.539,3.585,3.631,3.677,3.722,3.762
90,3.814,3.860,3.907,3.953,3.999,4.046,4.092,4.138,4.185,4.225
100,4.279,4.325,4.372,4.419,4.466,4.613,4.561,4.608,4.655,4.695
110,4.750,4.798,4.845,4.893,4.941,4.988,5.036,5.084,5.132,5.172
120,5.228,5.277,5.325,5.373,5.422,5.470,5.519,5.567,5.616,5.656
130,5.714,5.763,5.812,5.861,5.910,5.959,6.008,6.057,6.107,6.147
140,6.206,6.255,6.305,6.355,6.404,6.454,6.504,6.554,6.604,6.644
150,6.704,6.754,6.805,6.855,6.905,6.956,7.006,7.057,7.107,7.147
